Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file KERNEL32.DLL

File Type: DLL

  Section contains the following exports for KERNEL32.dll

    00000000 characteristics
    2C4857D3 time date stamp Sat Jul 17 15:49:39 1993
        0.00 version
           1 ordinal base
         543 number of functions
         543 number of names

    ordinal hint RVA      name

        381  17C 0001A880 ResumeThread
        382  17D          RtlFillMemory (forwarded to NTDLL.RtlFillMemory)
        383  17E          RtlMoveMemory (forwarded to NTDLL.RtlMoveMemory)
        384  17F          RtlUnwind (forwarded to NTDLL.RtlUnwind)
        385  180          RtlZeroMemory (forwarded to NTDLL.RtlZeroMemory)
        386  181 0002F510 ScrollConsoleScreenBufferA
        387  182 0002F540 ScrollConsoleScreenBufferW
        388  183 00013E50 SearchPathA
        389  184 00014070 SearchPathW
        390  185 0001BAD0 SetCommBreak
        391  186 0001BAE0 SetCommMask
        392  187 0001BBA0 SetCommState
        393  188 0001BF50 SetCommTimeouts
        394  189 00003220 SetComputerNameA
        395  18A 00002FF0 SetComputerNameW
        396  18B 0002F090 SetConsoleActiveScreenBuffer
        397  18C 0002F6D0 SetConsoleCP
        398  18D 00026060 SetConsoleCommandHistoryMode
        399  18E 0002E710 SetConsoleCtrlHandler
        400  18F 0002B680 SetConsoleCursor
        401  190 0002F250 SetConsoleCursorInfo
        402  191 0002F1E0 SetConsoleCursorPosition
        403  192 0002B8A0 SetConsoleDisplayMode
        404  193 0002F5F0 SetConsoleFont
        405  194 0002BBB0 SetConsoleHardwareState
        406  195 0002BD00 SetConsoleKeyShortcuts
        407  196 0002F660 SetConsoleMaximumWindowSize
        408  197 0002BDE0 SetConsoleMenuClose
        409  198 0002EF80 SetConsoleMode
        410  199 00025DC0 SetConsoleNumberOfCommandsA
        411  19A 00025DA0 SetConsoleNumberOfCommandsW
        412  19B 0002F7A0 SetConsoleOutputCP
        413  19C 0002B7A0 SetConsolePalette
        414  19D 0002F170 SetConsoleScreenBufferSize
        415  19E 0002F570 SetConsoleTextAttribute
        416  19F 00026330 SetConsoleTitleA
        417  1A0 000263C0 SetConsoleTitleW
        418  1A1 0002F320 SetConsoleWindowInfo
        419  1A2 000034A0 SetCurrentDirectoryA
        420  1A3 00003520 SetCurrentDirectoryW
        421  1A4 0000A6C0 SetEndOfFile
        422  1A5 00017BA0 SetEnvironmentVariableA
        423  1A6 00017D80 SetEnvironmentVariableW
        424  1A7 000094E0 SetErrorMode
        425  1A8 00019C40 SetEvent
        426  1A9 0000E850 SetFileApisToOEM
        427  1AA 0000B610 SetFileAttributesA
        428  1AB 0000B680 SetFileAttributesW
        429  1AC 0000A790 SetFilePointer
        430  1AD 0000AB70 SetFileTime
        431  1AE 0000AF00 SetHandleCount
        432  1AF 0002E580 SetLastConsoleEventActive
        433  1B0 00009530 SetLastError
        434  1B1 00003770 SetLocalTime
        435  1B2 00010230 SetMailslotInfo
        436  1B3 00012E30 SetNamedPipeHandleState
        437  1B4 00018770 SetPriorityClass
        438  1B5 00018BF0 SetProcessShutdownParameters
        439  1B6 0000A1B0 SetStdHandle
        440  1B7 000036E0 SetSystemTime
        441  1B8 00022C40 SetTapeParameters
        442  1B9 000229E0 SetTapePosition
        443  1BA 0001A810 SetThreadContext
        444  1BB 000340A0 SetThreadLocale
        445  1BC 0001A650 SetThreadPriority
        446  1BD 00003D30 SetTimeZoneInformation
        447  1BE 0001A940 SetUnhandledExceptionFilter
        448  1BF 0001CBF0 SetVDMCurrentDirectories
        449  1C0 00015480 SetVolumeLabelA
        450  1C1 00015560 SetVolumeLabelW
        451  1C2 0001B190 SetupComm
        452  1C3 0002B6F0 ShowConsoleCursor
        453  1C4 000112E0 SizeofResource
        454  1C5 0001A3E0 Sleep
        455  1C6 0001A3F0 SleepEx
        456  1C7 0001A840 SuspendThread
        457  1C8 000038B0 SystemTimeToFileTime
        458  1C9 00017700 TerminateProcess
        459  1CA 0001A740 TerminateThread
        460  1CB 0001AD50 TlsAlloc
        461  1CC 0001AE80 TlsFree
        462  1CD 0001AE00 TlsGetValue
        463  1CE 0001AE40 TlsSetValue
        464  1CF 000131F0 TransactNamedPipe
        465  1D0 0001C020 TransmitCommChar
        466  1D1 000105A0 TrimVirtualBuffer
        467  1D2 0001AA60 UnhandledExceptionFilter
        468  1D3 0000ADF0 UnlockFile
        469  1D4 0000AE70 UnlockFileEx
        470  1D5 0000B5E0 UnmapViewOfFile
